company_name,company_email,company_summary
11 bit studios S.A.,jobs@11bitstudios.com,"11 Bit Studios is a Polish game development company based in Warsaw. They are known for creating games that have been praised for their storytelling and unique experiences. They have been described as delivering ""brutal and beautiful"" games and have received recognition from publications such as The Guardian, Washington Post, and The New York Times. They offer tailor-made deals, vivid campaigns, and quality assurance for game developers. They also have a mission and core values that guide"
1PT Spółka z ograniczoną odpowiedzialnością,aksana.sazonova@1pt.com,"1PT is a group of technology companies that offers a range of software development services, quality assurance, game studio services, infrastructure services, UX/UI design, and technology consulting. They have service and product companies in Estonia, Georgia, Poland, and the UK. Their services include software development, quality assurance, conceptualization and creation of original content, and game development. They aim to provide talent, tools, and processes to build the right technology for businesses"
123Soft sp. z o.o.,biuro.123soft@gmail.com,"123Soft sp. z o.o. is a company based in Rzeszów, Poland that specializes in network and financial information. They are a limited liability company and provide services in custom computer programming, computer systems design, and computing infrastructure."
28software SP. z O.O.,michael@28software.com,"28Software is a premium IT-outstaffing provider that operates in the most cost-effective IT clusters of Europe. They offer consulting services to design the framework of solutions, software development expertise for specialized challenges, and dedicated teams to support product success. They have a team of skilled IT specialists and a large network of accessible candidates. They work with fast-growing start-ups and offer savings on labor and operational costs."
4code sp. z o.o.,talents@4code.io,"lp you assess your current security posture, identify vulnerabilities, and develop a comprehensive security strategy to mitigate risks and protect your valuable assets.        Secure code review and testingIdentify and fix vulnerabilities in your software code with our secure code review and testing services. Our experts will conduct a thorough analysis of your code, identify potential security flaws, and provide recommendations for remediation to ensure the integrity and security of your software.        Security training and awarenessEmpower your"
4GATE S.A.,hello@mightykoi.com,"4Gate S.A. is a company in Poland that operates in the Computer Systems Design and Related Services industry. They specialize in designing and providing technical solutions for computer systems. They also offer services related to parking systems, barriers, gate automation, and modern fencing."
4IRE POLSKA Sp. z o.o.,s.pleskach@4irelabs.com,"The company, 4IRE, is a Swedish-Ukrainian blockchain development company with 12+ years of experience. They offer a range of technical solutions and services, including:

- Blockchain Development: They help businesses harness the disruptive power of blockchain technology to secure their operations and stay ahead in various industries.
- Blockchain Consulting: They provide consulting services to help businesses overcome challenges and develop effective tech strategies using blockchain.
- Crypto Wallet Development: They offer"
7N sp. z o.o,jobs.pl@7n.com,"7N is an IT consulting company that specializes in high-performance IT teams. They offer services in software engineering, data & AI, infrastructure & cloud, cybersecurity, IT project optimization, agile transformation, and digital operations. They have expertise in various industries and offer job opportunities for consultants and employees."
ABB Business  Services  Sp.  z o.o.,pl-pbh@abb.com,"ABB Business Services Sp. z o.o. is a company based in Poland that offers accounting, tax preparation, bookkeeping, and payroll services. They also provide advertising, public relations, and related services. Additionally, ABB Business Services Sp. z o.o. operates in the computer systems design and related fields. ABB Sp. z o.o., another company associated with ABB, is an engineering company that focuses on using electrical power and increasing"
Acaisoft,recruitment@acaisoft.com,"Acaisoft is a company that specializes in implementing custom data engineering solutions for the Enterprise. They help businesses collect, process, store, and govern their data to extract value for their business. They are also architects of digital innovation, helping businesses deploy their ideas and develop in the ever-evolving tech domain. They offer comprehensive services spanning analysis to deployment, with a focus on scalability and performance. They provide cloud-native solutions, data engineering and AI, cloud"
Acvian sp. z o.o.,cyril.k@acvian.com,"Acvian is a company that provides professional employment services, specifically in the area of international workforce management. They offer solutions for employee onboarding, tax filing, HR consultancy, payroll administration, and tax administration. They act as an Employer of Record (EOR) or partner PEO agent, allowing companies to expand internationally without the need to set up a physical presence in a foreign country. Their services help companies navigate the legal, financial, accounting,"
Adchitects Sp. z o. o.,hello@adchitects.co,"Adchitects is an award-winning web design agency that specializes in creating world-class digital products. They offer services such as website design, e-commerce development, web app development, and mobile app development. They have expertise in creating custom WordPress, HubSpot, and Headless websites, as well as Shopify and WooCommerce e-commerce platforms. Their focus is on delivering high-quality products on time and within budget. They have worked with clients in various industries,"
Adenza Poland SOO Sp. z o.o.,anastasiia.boiko@adenza.com,"Adenza is a company that provides technical solutions and services to financial institutions. They specialize in trading, treasury, risk management, regulatory compliance, and financial reporting solutions. They serve global, central, and regional banks, broker-dealers, insurers, asset managers, pension funds, hedge funds, stock exchanges, and clearing houses. They also offer cloud services, customer delivery, education, and learning services. Adenza is based in Poland, with its head"
Addepto,hr@addepto.com,Addepto is a multinational company that provides a complete marketing automation SaaS platform. They are familiar with Machine Learning and Artificial Intelligence and offer AI consulting services. They also specialize in connecting Big Data and AI to develop custom solutions for fast-growing companies.
Admiral Markets Cyprus Sp. z o.o. oddział w Polsce,mateusz.zienkiewicz@admiralmarkets.com,"Admiral Markets is a company that offers an advanced online platform for trading CFD contracts on currencies, metals, stocks, indices, digital currencies, and more. They provide commission-free trading and have a branch in Poland. They also offer contact information and login options on their website."
Admitad Polska Sp. z o.o.,a.brzywczy@admitad.com,"Admitad is a company that specializes in affiliate marketing. They provide a platform for advertisers, publishers, and influencers to engage in affiliate marketing campaigns. They work with major brands and offer services for businesses to develop their affiliate marketing strategies worldwide. Admitad Polska Sp. z o.o. is based in Poland and operates in the Advertising Agencies sector. They also offer solutions for small businesses and startups to kick off their affiliate marketing programs. Additionally,"
ADVANCED ADMINISTRATIONS sp. z o.o.,bh@datawebadmin.com,"The company, Advanced Administrations Sp. z o.o., offers a range of technical services including accounting, tax preparation, bookkeeping, payroll services, advertising, public relations, architectural and engineering services, and other information services. They also provide fast and reliable access to highly loaded online projects."
AFFIRM POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,klaudyna.bajkowska@affirm.com,"Affirm Poland Sp. z o.o. is a company based in Poland that specializes in financial services. They offer payment solutions and financing options for consumers. They also have a focus on diversity, equity, and inclusion in their approach to business. Affirm Poland Sp. z o.o. has recently announced the establishment of an engineering site in Poland."
Afina Systems Spółka z ograniczoną odpowiedzialnością,info@afina.ai,"Afina Systems is a technical company that provides solutions for building safe and highly efficient workflows for startups and companies. They operate in the field of computer systems design and offer services related to technical systems and software development. The company is located in Poland, with its main office in Warsaw."
AIBoost,founder@aiboost.tech,"AI Boost is a company that specializes in AI technology for image editing and creativity. They offer an AI image editor app that allows users to personalize their photo editing experience using state-of-the-art AI technology. The app includes features such as AI avatars, text-to-art conversion, photo enhancements, personalized stickers, and meme generation. AI Boost also offers a powerful and intelligent AI chatbot app and a web-based visual interface for ML development. Additionally, there"
Aiby LLC Sp. z o.o.,ob@aiby.com,"AIBY is a global tech company that specializes in mobile-first products. They combine expertise in artificial intelligence with an understanding of consumer needs and lifestyle trends. They have developed a range of products, including a document scanning and management platform called iScanner, an AI art and photo generator called AI ARTA, an AI chatbot called ChatOn, an AI tool for identifying and caring for plants called Plantum, an object counting AI service called Count This"
AirHelp Services Poland sp. z o.o.,michal.sabat@airhelp.com,"Airhelp Services Poland Sp. z o.o. is a company that operates in the field of providing support and services to air travelers. They help passengers get compensation for flight delays, cancellations, and other issues. They have offices in Krakow and Gdansk, Poland. Their main focus is on assisting travelers and making air travel less stressful. They have a global team that works on various technical aspects to provide their services efficiently."
airSlate Poland Sp. z o.o.,staszak.justyna@airslate.com,"The company airSlate specializes in developing software and technology solutions for automating document workflows. They are known for their ""no-code"" movement, which aims to empower businesses to create rich customer experiences by automating their entire document workflow. They are actively expanding their operations in Wrocław, Poland and are hiring software developers for this purpose."
AIVA,kyrchevskiy@aiva.com.pl,"AIVA is a company that specializes in AI music generation. They have developed an AI music generation assistant that allows users to generate new songs in over 250 different styles. Users can create their own style models, upload audio or MIDI influences, and edit their generated tracks. AIVA also offers different pricing plans, including a free plan for non-commercial use and paid plans for monetization purposes. They provide support for various file formats and offer the option to"
AKRA Polska,praca@akra.net,AKRA Polska is a company specializing in new technologies and software development. They offer professional services to clients and have over 10 years of experience in the industry. They provide scalable solutions tailored to the needs of their clients' businesses. They have a portfolio of inspiring projects that have helped businesses achieve their goals. They also offer career opportunities for professionals in the IT industry.
Akvelon Poland Sp. z o.o.,vladimir.proskurin@akvelon.com,"Akvelon is a software engineering services company that helps businesses across multiple industries implement value-generating solutions. They offer services in machine learning, artificial intelligence, and other technical areas. They have offices in Poland, including one in Krakow."
Akveo Poland,n.mihailova@akveo.com,"Akveo is a software development company that offers a wide range of technical services, including startup development, MVP development, web app development, mobile app development, digital transformation, data engineering, big data development, design services, low-code development, chatbot development, QA services, cloud consulting, and technology consulting. They specialize in technologies such as Angular, React.js, React Native, and Azure. They also provide various products and templates, including fleet"
Alina Tyro-Niezgoda ANTIDOTUM,antidotum@antidotum.pl,"Antidotum Alina Tyro-Niezgoda is a company that specializes in architectural, interior, and furniture design. They also offer courses and instruction in various artistic and technical skills, including goldsmithing, felt-making, polymer clay, metal clay, beading, and more. They have a private goldsmithing school in Warsaw and are associated with the TOUS School of Commerce and Jewelry Crafts. Additionally, they have their own brand called"
ALLSTARSIT POLAND sp. z o.o.,aleksandra.zych@allstarsit.com,"ALLSTARSIT is a company that provides software development teams, technical support, and talent acquisition services. They help businesses recruit, pay, insure, and support global IT professionals. They offer services such as staff augmentation, dedicated teams, EOR/PEO services, BPO services, tech support, and customer care. They have expertise in industries such as cybersecurity, e-commerce, BFSI, telecom, and automotive. They also provide resources and"
Alter Solutions Polska,awasserman@alter-solutions.com,"Alter Solutions is a high-tech consulting firm that specializes in IT outsourcing and nearshore services. They offer services such as software development, cloud computing, agile IT, business optimization, cybersecurity, security management, architecture and integration solutions, audit and penetration testing, and cyber defense. They also provide services in nearshoring and outsourcing. The company aims to support customers in carrying out technical projects by providing customized solutions. They have a blog and case studies on their"
Altoros Poland,a.vinahradava@altoros.com,"Altoros is a technical consulting and software development company that offers a range of services and expertise in various technologies. They specialize in enterprise-grade cloud services, including Kubernetes, Istio, and Terraform. They provide custom software development, dedicated development teams, and mobile application development. Altoros also offers services in DevOps, service mesh, and infrastructure as code enablement. They work with clients in different industries and have partnerships with major technology providers"
